id,state,lgbt,FUNDOTHSTATE,FUNDLOCALGOV,FUNDSMHA,FUNDSTATEWELFARE,FUNDSTATEJUV,FUNDSTATEEDUC
201900597,AZ,0,0,0,1,1,1,0
201900598,AZ,0,0,0,1,0,0,0
201900599,AZ,0,0,0,0,0,0,0
201900600,AZ,0,0,0,0,0,0,0
201900601,AZ,1,0,0,1,1,1,0
201900602,AZ,0,0,0,0,0,0,0
201900603,AZ,1,0,0,0,0,0,0
201900604,AZ,1,0,0,1,0,0,0
201900605,AZ,0,0,1,0,0,0,0
201900606,AZ,0,0,0,1,0,0,0
201900607,AZ,0,0,0,1,0,0,0
201900608,AZ,0,0,0,1,0,0,0
201900609,AZ,0,0,0,1,0,0,0
201900610,AZ,0,0,0,1,0,0,0
201900611,AZ,0,0,0,1,0,0,0
201900612,AZ,0,1,0,1,0,0,0
201900613,AZ,1,0,0,1,0,0,0
201900614,AZ,0,0,1,1,0,0,0
201900615,AZ,1,0,0,0,1,0,0
201900616,AZ,0,1,1,1,0,0,1
201900617,AZ,0,0,0,0,0,1,0
201900618,AZ,0,0,0,1,0,0,0
201900619,AZ,0,0,0,0,0,0,0
201900620,AZ,0,0,0,0,0,0,0
201900621,AZ,0,0,0,1,0,0,0
201900622,AZ,0,1,0,0,1,1,0
201900623,AZ,0,0,0,0,0,0,0
201900624,AZ,0,0,1,1,0,0,0
201900625,AZ,0,0,0,1,0,0,0
201900626,AZ,0,0,0,1,0,0,0
201900627,AZ,0,0,0,0,0,0,0
201900628,AZ,0,1,1,1,1,1,1
201900629,AZ,0,0,0,1,0,0,0
201900630,AZ,1,1,1,1,0,0,0
201900631,AZ,0,0,0,1,1,1,0
201900632,AZ,0,0,0,0,0,0,0
201900633,AZ,0,1,1,1,1,1,1
201900634,AZ,1,1,1,1,1,1,1
201900635,AZ,1,0,0,0,0,0,0
201900636,AZ,0,0,0,1,1,0,0
201900637,AZ,1,1,1,1,1,1,1
201900638,AZ,1,0,1,0,0,0,0
201900639,AZ,0,1,1,1,0,1,0
