state,case_state,year,lgbtq_total,govt_fund,t,state_policy,temp_id,t2,l_lgbtq_total,l_state_policy,l_govt_fund,l2_lgbtq_total,l2_state_policy,l2_govt_fund,l3_lgbtq_total,l3_state_policy,l3_govt_fund,l4_lgbtq_total,l4_state_policy,l4_govt_fund,l5_lgbtq_total,l5_state_policy,l5_govt_fund,l6_lgbtq_total,l6_state_policy,l6_govt_fund,fd_lgbtq_total,fd_state_policy,fd_govt_fund,fd_l_lgbtq_total,fd_l_state_policy,fd_l_govt_fund,fd_l2_lgbtq_total,fd_l2_state_policy,fd_l2_govt_fund,fd_l3_lgbtq_total,fd_l3_state_policy,fd_l3_govt_fund,fd_l4_lgbtq_total,fd_l4_state_policy,fd_l4_govt_fund
delaware,8,2015,9,28,2,40.50632911392405,58,4,47,62.0253164556962,206,42,60.12658227848101,190,210,76.58227848101265,757,87,12.025316455696203,316,20,8.860759493670885,188,16,0,178,-38,-21.518987341772146,-178,5,1.8987341772151893,16,-168,-16.45569620253164,-567,123,64.55696202531645,441,67,3.1645569620253173,128
florida,9,2015,112,430,2,17.088607594936708,59,4,9,40.50632911392405,28,47,62.0253164556962,206,42,60.12658227848101,190,210,76.58227848101265,757,87,12.025316455696203,316,20,8.860759493670885,188,103,-23.417721518987346,402,-38,-21.518987341772146,-178,5,1.8987341772151893,16,-168,-16.45569620253164,-567,123,64.55696202531645,441
georgia,10,2015,51,200,2,3.79746835443038,60,4,112,17.088607594936708,430,9,40.50632911392405,28,47,62.0253164556962,206,42,60.12658227848101,190,210,76.58227848101265,757,87,12.025316455696203,316,-61,-13.291139240506327,-230,103,-23.417721518987346,402,-38,-21.518987341772146,-178,5,1.8987341772151893,16,-168,-16.45569620253164,-567
hawaii,11,2015,8,41,2,41.77215189873418,61,4,51,3.79746835443038,200,112,17.088607594936708,430,9,40.50632911392405,28,47,62.0253164556962,206,42,60.12658227848101,190,210,76.58227848101265,757,-43,37.9746835443038,-159,-61,-13.291139240506327,-230,103,-23.417721518987346,402,-38,-21.518987341772146,-178,5,1.8987341772151893,16
iowa,12,2015,10,152,2,35.44303797468354,62,4,8,41.77215189873418,41,51,3.79746835443038,200,112,17.088607594936708,430,9,40.50632911392405,28,47,62.0253164556962,206,42,60.12658227848101,190,2,-6.329113924050638,111,-43,37.9746835443038,-159,-61,-13.291139240506327,-230,103,-23.417721518987346,402,-38,-21.518987341772146,-178
idaho,13,2015,54,170,2,12.025316455696203,63,4,10,35.44303797468354,152,8,41.77215189873418,41,51,3.79746835443038,200,112,17.088607594936708,430,9,40.50632911392405,28,47,62.0253164556962,206,44,-23.41772151898734,18,2,-6.329113924050638,111,-43,37.9746835443038,-159,-61,-13.291139240506327,-230,103,-23.417721518987346,402
illinois,14,2015,46,371,2,56.32911392405063,64,4,54,12.025316455696203,170,10,35.44303797468354,152,8,41.77215189873418,41,51,3.79746835443038,200,112,17.088607594936708,430,9,40.50632911392405,28,-8,44.30379746835443,201,44,-23.41772151898734,18,2,-6.329113924050638,111,-43,37.9746835443038,-159,-61,-13.291139240506327,-230
indiana,15,2015,31,279,2,15.18987341772152,65,4,46,56.32911392405063,371,54,12.025316455696203,170,10,35.44303797468354,152,8,41.77215189873418,41,51,3.79746835443038,200,112,17.088607594936708,430,-15,-41.13924050632911,-92,-8,44.30379746835443,201,44,-23.41772151898734,18,2,-6.329113924050638,111,-43,37.9746835443038,-159
kansas,16,2015,10,117,2,13.924050632911392,66,4,31,15.18987341772152,279,46,56.32911392405063,371,54,12.025316455696203,170,10,35.44303797468354,152,8,41.77215189873418,41,51,3.79746835443038,200,-21,-1.265822784810128,-162,-15,-41.13924050632911,-92,-8,44.30379746835443,201,44,-23.41772151898734,18,2,-6.329113924050638,111
kentucky,17,2015,37,189,2,11.39240506329114,67,4,10,13.924050632911392,117,31,15.18987341772152,279,46,56.32911392405063,371,54,12.025316455696203,170,10,35.44303797468354,152,8,41.77215189873418,41,27,-2.5316455696202524,72,-21,-1.265822784810128,-162,-15,-41.13924050632911,-92,-8,44.30379746835443,201,44,-23.41772151898734,18
louisiana,18,2015,31,118,2,2.5316455696202533,68,4,37,11.39240506329114,189,10,13.924050632911392,117,31,15.18987341772152,279,46,56.32911392405063,371,54,12.025316455696203,170,10,35.44303797468354,152,-6,-8.860759493670887,-71,27,-2.5316455696202524,72,-21,-1.265822784810128,-162,-15,-41.13924050632911,-92,-8,44.30379746835443,201
massachusetts,19,2015,74,266,2,61.39240506329114,69,4,31,2.5316455696202533,118,37,11.39240506329114,189,10,13.924050632911392,117,31,15.18987341772152,279,46,56.32911392405063,371,54,12.025316455696203,170,43,58.86075949367089,148,-6,-8.860759493670887,-71,27,-2.5316455696202524,72,-21,-1.265822784810128,-162,-15,-41.13924050632911,-92
maryland,20,2015,81,246,2,48.10126582278481,70,4,74,61.39240506329114,266,31,2.5316455696202533,118,37,11.39240506329114,189,10,13.924050632911392,117,31,15.18987341772152,279,46,56.32911392405063,371,7,-13.291139240506332,-20,43,58.86075949367089,148,-6,-8.860759493670887,-71,27,-2.5316455696202524,72,-21,-1.265822784810128,-162
