region,case_state,year,lgbtq_total,lgbtq_perc,govt_fund,t,state_policy,temp_id,perc_confirmed,lgbtq_actual
indiana,15,2013,20,7.27272727272727,61.0909090909091,4,27.9569892473118,165,0.0491803278688525,0.983606557377049
kansas,16,2013,16,7.61904761904762,57.1428571428571,4,15.0537634408602,166,0.142857142857143,2.28571428571429
kentucky,17,2013,26,7.92682926829268,47.8658536585366,4,23.6559139784946,167,0.0769230769230769,2
louisiana,18,2013,19,11.4457831325301,62.0481927710843,4,15.0537634408602,168,0,0
massachusetts,19,2013,62,19.620253164557,68.9873417721519,4,83.8709677419355,169,0.133333333333333,8.26666666666667
maryland,20,2013,46,12.7777777777778,46.3888888888889,4,68.8172043010753,170,0.109375,5.03125
maine,21,2013,20,9.00900900900901,32.4324324324324,4,88.1720430107527,171,0.264705882352941,5.29411764705882
michigan,22,2013,47,9.61145194274029,56.6462167689162,4,10.752688172043,172,0.168224299065421,7.90654205607477
minnesota,23,2013,35,9.88700564971751,50.2824858757062,4,73.1182795698925,173,0.135802469135802,4.75308641975309
missouri,24,2013,13,5.03875968992248,77.9069767441861,4,15.0537634408602,174,0.0571428571428571,0.742857142857143
mississippi,25,2013,15,14.8514851485149,70.2970297029703,4,10.752688172043,175,0.136363636363636,2.04545454545455
montana,26,2013,3,4.16666666666667,77.7777777777778,4,17.2043010752688,176,0.0454545454545455,0.136363636363636
north carolina,27,2013,48,11.0854503464203,41.3394919168591,4,21.505376344086,177,0.0648648648648649,3.11351351351351
north dakota,28,2013,7,10.7692307692308,33.8461538461538,4,10.752688172043,178,0.25,1.75
nebraska,29,2013,6,5.26315789473684,78.9473684210526,4,19.3548387096774,179,0.368421052631579,2.21052631578947
new hampshire,30,2013,2,3.63636363636364,65.4545454545455,4,70.9677419354839,180,0,0
new jersey,31,2013,56,15.0537634408602,57.5268817204301,4,92.4731182795699,181,0.099236641221374,5.55725190839695
new mexico,32,2013,24,17.2661870503597,78.4172661870504,4,75.2688172043011,182,0.137931034482759,3.31034482758621
nevada,33,2013,11,13.5802469135802,59.2592592592593,4,70.9677419354839,183,0.159090909090909,1.75
new york,34,2013,106,11.7127071823204,56.6850828729282,4,68.8172043010753,184,0.139130434782609,14.7478260869565
ohio,35,2013,24,6.34920634920635,72.4867724867725,4,8.60215053763441,185,0.12280701754386,2.94736842105263
oklahoma,36,2013,28,12.5560538116592,56.9506726457399,4,6.45161290322581,186,0.127272727272727,3.56363636363636
oregon,37,2013,33,13.4146341463415,61.3821138211382,4,96.7741935483871,187,0.0784313725490196,2.58823529411765
pennsylvania,38,2013,62,11.5027829313544,51.2059369202226,4,25.8064516129032,188,0.225563909774436,13.984962406015
rhode island,39,2013,9,14.5161290322581,69.3548387096774,4,81.7204301075269,189,0.142857142857143,1.28571428571429
south carolina,40,2013,8,7.20720720720721,54.0540540540541,4,10.752688172043,190,0.0714285714285714,0.571428571428571
south dakota,41,2013,3,4.76190476190476,74.6031746031746,4,10.752688172043,191,0.111111111111111,0.333333333333333
tennessee,42,2013,14,6.33484162895928,70.1357466063348,4,10.752688172043,192,0.05,0.7
texas,43,2013,49,10.6290672451193,54.880694143167,4,21.505376344086,193,0.096,4.704
utah,44,2013,33,19.2982456140351,49.1228070175439,4,0,194,0.128205128205128,4.23076923076923
virginia,45,2013,19,8.4070796460177,60.6194690265487,4,15.0537634408602,195,0.0816326530612245,1.55102040816327
vermont,46,2013,1,2.27272727272727,79.5454545454545,4,83.8709677419355,196,0.333333333333333,0.333333333333333
washington,47,2013,36,7.98226164079823,55.8758314855876,4,90.3225806451613,197,0.115942028985507,4.17391304347826
wisconsin,48,2013,31,9.74842767295597,52.2012578616352,4,53.763440860215,198,0.0476190476190476,1.47619047619048
west virginia,49,2013,11,10.8910891089109,72.2772277227723,4,15.0537634408602,199,0,0
wyoming,50,2013,3,5.66037735849057,84.9056603773585,4,12.9032258064516,200,0.0588235294117647,0.176470588235294
alaska,1,2014,10,10.989010989011,64.1469419066016,5,2.29885057471264,201,0,0
